2222,3000,7669779.335000,816615.830235,866940.519531,1411503.978516,1462297.425781,1593766.072021,1749392.137207,486845.715140,779305.611647,787211.707275,1388053.271484,1430267.764893,1487739.207764,1520220.331055,484903.114364,816189.902163,1025342.534912,1402843.139404,1434274.591309,1507267.267578,1521647.233887,491316.607380,811879.988782,891967.248779,1394047.062744,1416050.267090,1502099.377441,1514971.444580,461695.508991,638458.148808,612447.833984,1377508.374512,1400479.443115,1508206.961426,1508206.961426,476890.163905,787561.823017,785945.240479,1403259.823242,1428456.295410,1495319.045654,1513972.040771,484728.123752,827727.852619,949954.112793,1418756.422363,1470065.603271,1521667.604004,1567272.891846,489809.263828,895684.620053,1009375.700439,1488701.887207,1571088.387939,1720472.114990,1733676.616699,482868.757846,952616.666088,998518.635010,1566763.031982,1669507.248047,1711723.197998,1749392.137207,479911.135886
2500,3000,7763120.095000,542240.653370,596315.124512,904948.556641,946807.683350,1067099.749023,3871792.585449,340764.177205,512108.396262,551590.100830,884501.607422,931353.464111,1009995.620117,1040124.547607,304607.211535,534851.981737,641663.059082,908342.306152,945372.040771,1037571.078613,1038465.989746,308540.369404,529868.150437,590277.143311,899579.966797,942275.113281,971077.914062,976783.760010,285603.270370,440346.854760,428205.210449,923799.793945,977648.522705,1033553.943604,1033553.943604,321085.815505,508654.345195,545352.559570,873964.723633,925824.343506,995242.909668,1035531.410889,293733.283323,542281.160565,606887.564941,910708.722168,944913.177246,1013125.950439,1070120.830078,296086.882986,586308.620549,627964.340088,944519.415527,985425.776611,1131417.374756,1237127.618408,285696.365063,728265.790912,687675.522461,1062859.579590,1315243.826416,3805313.093994,3871792.585449,609748.825741
2857,3000,8080126.709000,248637.142877,206525.262451,543288.643066,605188.971191,748721.707031,1109228.271240,182738.836308,228267.750427,191010.756104,524238.768799,594141.299805,646569.284668,671498.894531,172309.009633,239533.242420,181635.923584,561813.085693,636726.450684,675275.452881,678927.322754,181176.547744,234237.135463,179276.076416,524840.790039,601446.640625,645303.082031,651753.174072,166893.063023,230216.905486,177558.807129,590996.954834,665143.664551,666993.263428,666993.263428,196028.803490,217152.689105,178132.003662,506761.729004,587826.029785,666841.830811,748721.707031,160095.393634,246202.033413,207002.915039,562194.321289,602485.734131,714471.877930,791221.547363,177596.767310,298485.995772,275726.217041,587644.318115,665809.675293,946155.626221,1008790.878906,193554.444957,391026.171090,373493.218262,711289.736572,823227.539062,1094897.034912,1109228.271240,217040.862587
3333,3000,9406452.453000,119660.464264,76042.160645,289793.831055,337402.118896,493019.026855,838893.008057,112530.339183,98314.814509,61125.389893,272897.061035,298082.705566,366319.162598,403079.908691,93405.995462,103714.388414,57336.472656,285121.650391,328514.165527,406443.076904,410880.823730,100823.086814,106131.106775,66191.219238,276947.332520,331880.133057,389836.431641,395488.026611,95409.750120,113264.864904,80738.599854,282308.993652,337402.118896,399373.421875,399373.421875,100115.871740,97537.398228,65880.889893,246845.533447,291501.200928,396873.493408,486336.977051,87989.203730,121485.031559,95761.850098,279299.938477,319030.790283,483582.831543,536681.916748,102002.748028,181566.626257,154141.859375,363607.014160,462635.799072,567083.382568,826347.391846,141743.702080,216428.539042,196326.386475,409166.570801,565385.167725,702512.703369,838893.008057,163835.941274
4000,3000,11276590.608000,76920.621595,49236.824463,198758.478516,237518.724609,396912.991455,605114.332520,81868.580680,57549.994654,36820.314697,164630.959717,203974.127686,241932.547607,280620.304688,59539.559014,63721.151142,41734.795898,183013.022217,222496.213623,284333.479736,287824.104492,63899.325108,66394.919715,44655.392578,184718.322510,234053.058350,262090.634277,272952.677246,63240.255562,73608.388617,62471.385010,129983.639160,204880.422607,277916.621826,277916.621826,57094.259010,60299.040785,44990.441895,119596.033936,212284.133301,254381.470947,280092.554932,57773.813171,83007.913518,62765.404785,187399.443604,232552.638916,323089.110107,386836.035400,73151.988385,123941.509686,97403.589111,263709.893799,352563.033691,543209.404297,595363.473145,111562.312474,150418.373190,110804.128174,364081.890137,428910.570557,559417.572510,605114.332520,138131.182692
5000,3000,14090332.995000,43835.137287,30131.344482,98384.138428,124244.349854,279617.677002,430450.999268,50890.384571,29805.326153,24732.281006,62098.906982,90066.597412,117293.348389,135191.514648,26163.193996,33459.256070,27861.620361,71798.996582,93617.211914,133567.183838,138788.496094,28320.654005,39301.359205,34677.076904,71548.489990,101935.343750,120559.477295,126394.117920,27176.076914,46968.406266,43579.772949,80654.644775,99096.754883,112839.065430,112839.065430,28118.085703,35445.076540,28357.364990,77386.718506,96556.029541,131389.989258,198773.651611,30982.712137,47609.956543,36457.854736,106733.219971,130622.352051,183922.052979,258568.407227,44834.226808,74454.157954,48092.401123,176905.677490,279617.677002,387253.968750,430450.999268,81625.693287,87225.974479,49732.256836,234135.920898,310853.461914,419580.244141,423068.941650,100397.543461
6667,3000,18780856.209000,23975.469778,16737.186035,58105.761475,77121.153320,116553.085938,206121.533691,26234.875063,17257.213342,14752.089600,37180.289551,45297.185547,58622.250977,72807.470459,14473.423038,19806.396790,16962.862549,42238.306885,46850.454590,71639.787598,86035.741211,16064.671184,25213.365742,22146.421631,47430.315430,58315.865723,69034.154785,89208.542480,17823.924785,39754.119755,39771.877441,65656.240234,80690.450439,88842.799805,88842.799805,25241.912418,21315.584544,15410.506592,53987.845459,66726.241455,91823.694580,102330.434814,21632.335819,28641.443049,16780.669922,77322.766846,95842.307129,131833.934326,158279.421143,31651.794460,35430.247154,22686.855225,88832.753662,111791.809814,180465.338867,202413.759277,39654.493988,33084.870286,17155.816406,94040.957520,112371.855713,182010.586914,206121.533691,38785.201874
10000,3000,28159070.953000,12783.535051,8050.799072,33654.767822,43741.497559,68560.457275,98824.252930,15316.562879,11339.055605,7363.070557,30489.370850,38051.089844,52526.595215,65727.348877,12594.877524,13672.476331,10702.883301,34196.353027,38474.189697,61456.043213,83048.687744,14057.600239,16744.278033,15195.428711,37176.677979,47778.582764,67728.694580,87807.377686,15933.461875,30310.660526,31933.319580,61441.904053,80334.383545,87258.356201,87258.356201,26322.015192,11674.351171,6166.602539,33654.767822,42723.538818,71013.173584,91729.239746,15242.284225,13360.277321,7669.792480,34408.226562,48070.192627,75638.915283,98824.252930,17038.218897,14168.404928,11333.627930,34434.893799,45115.276611,59372.179199,85598.149658,15247.722828,13167.762691,8301.324951,33412.772949,50220.207031,72821.114014,89533.834961,16239.884515
20000,3000,56303316.366000,5358.588597,2022.826660,15558.255127,21959.345703,37195.288330,58999.749756,8170.311813,5216.881115,2241.060791,15302.316162,20812.280273,32377.660400,51426.326172,7608.344974,6580.338296,4706.822021,15246.211670,26308.077148,37959.821045,55134.328369,8669.282373,8215.255590,4.254883,22407.291748,29285.641113,38292.727539,54947.746094,10389.072409,16307.317280,3.423096,37847.561768,48777.455078,56690.332764,56690.332764,18511.631315,4270.989020,1314.549316,12184.506348,17738.059326,35746.958496,54556.551270,7083.577810,5187.961127,2139.616211,14092.909180,22340.248291,36880.829102,58999.749756,8272.851392,5567.383449,16.015869,15892.803955,19372.914307,30708.175049,48696.559570,7545.809397,5670.222387,3440.627197,14464.379883,21959.345703,42791.104736,56564.507812,8296.199836
40000,3000,112605547.353000,2676.463773,3.281738,8843.128174,12818.862549,24962.751465,42166.225586,5236.621561,2356.451308,3.269531,7888.892334,12054.207031,20265.962158,33744.002197,4473.885881,3656.912668,3.347412,12059.574707,15106.126709,24618.031250,41738.459961,6044.460009,4509.728275,3.287842,15209.224609,17555.490479,30881.874023,41403.213379,7287.947770,7858.774351,3.233887,29062.400391,34574.713135,35490.679688,35490.679688,12833.000164,2087.808030,3.281006,6685.967041,10403.175537,22563.168213,35018.242432,4330.236987,2684.271364,3.273193,8246.233887,13236.513184,24094.054199,42166.225586,5518.373172,2907.460290,3.273926,10539.231934,13501.182373,24690.084229,27836.061768,5157.262697,2918.952617,3.534424,7689.657227,12133.643066,34375.853760,36616.748291,5315.158108
80000,3000,225210005.045000,1330.053908,3.266846,5065.456299,8165.609375,16559.638428,27513.665039,3268.067497,1084.061742,3.254639,3791.947754,6382.990967,13366.607666,24744.118164,2720.246880,2058.721216,3.305420,7919.460205,10727.604004,14066.573730,18689.010010,3771.348095,2455.088772,3.261719,10313.832031,12636.665039,16559.638428,20141.787598,4723.755324,861.699203,3.286621,3.429932,3.572998,26626.998535,26626.998535,4781.837281,1037.093668,3.273682,3479.846924,6049.053467,15832.479980,27513.665039,2757.013621,1414.551511,3.260498,5137.585205,8352.059082,17179.148438,26470.613770,3565.712430,1558.679758,3.263428,5750.025146,8669.390137,17265.447998,20252.449463,3513.187239,1495.352922,3.264893,5363.610596,7800.941895,20733.846191,26714.698975,3561.621987
160000,3000,450418928.420000,663.649133,3.234131,2550.629883,4527.458984,10002.892822,25036.109863,2167.141239,484.270518,3.214111,2135.563477,3369.410645,7839.993652,21585.234131,1583.350791,964.268647,3.226074,5027.473633,6886.375488,12020.731445,12403.761230,2519.131770,1298.600917,3.257812,7914.909668,10043.050049,11987.388428,13804.810547,3313.555600,3.696454,3.273926,3.956787,11.130859,15.905518,15.905518,2.865211,494.337500,3.235107,1885.317139,3679.725342,8279.663086,21294.548828,1628.805153,768.829456,3.242676,2605.379150,4588.137939,12590.511230,25036.109863,2725.726911,713.210123,3.208008,4287.009033,5160.839600,9041.155762,14401.225342,2072.429691,980.681872,3.251953,3199.570801,4736.612793,17031.396973,22670.439697,2832.292856
